,tweet_id,created_datetime,content,author_id,place_id,location,longitude,latitude,county,label,sentiment_1,sentiment_2
0,1.4572231463233823e+18,2021-11-07,Aahhh! Its a bear! https://t.co/lCWplZDYs5,9.507898486080266e+17,f3cbe8607ff8ebaa,"Rancho Cordova, CA",-121.25268,38.595238,SACRAMENTO,2.0,surprise,neutral
1,1.4573717223576904e+18,2021-11-07,"Follow my YouTube WILD CHARLES for longer vids! 

*Never feed a wild bear this one is at a rescue* https://t.co/Tn8y7b10TG",2855864495.0,2f97b9acb13ca665,"Costa Mesa, CA",-117.94091,33.63662,ORANGE,1.0,neutral,neutral
2,1.4581252647229235e+18,2021-11-09,"11.8.21 
Mama Bear and her cub. Welcome to the family, Herbie. (Also #adoptdontshop)

#instadog #newpuppyparents #dogsofinstagram @ Palm Springs, California https://t.co/ErKMcPjq9v",2660056412.0,4265ece9285a2872,"Palm Springs, CA",-116.5279,33.8443,RIVERSIDE,2.0,joy,positive
3,1.458180995937542e+18,2021-11-09,"Polar bear investigating a camera, Churchill, Manitoba, Canada https://t.co/VKCfn9z6BA",8.762030846444421e+17,bcd6f5a92e969e33,"Covina, CA",-117.92995,34.082493,LOS ANGELES,1.0,neutral,neutral
4,1.4582911409316905e+18,2021-11-10,@CNN The media is going back to the polar bear lies. Despicable,1.3339582991887524e+18,f95304ef80fecc3f,"Temecula, CA",-117.083496,33.522667,RIVERSIDE,2.0,anger,negative
5,1.4594111267691807e+18,2021-11-13,If you ever see me fighting in the forest with a grizzly bear. HELP THE BEAR! cause that bitch gone need it.,1.1269018386309652e+18,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,2.0,anger,negative
6,1.4594241141379932e+18,2021-11-13,@mashaslamovich Her current obsession is Masha and the Bear so HELL YEAH!,360405009.0,5ecbd073f39c00fa,"Hayward, CA",-122.032455,37.68489,CONTRA COSTA,2.0,joy,positive
7,1.4595623554450432e+18,2021-11-13,"Fighting the urge to disappear into the forest and getting eaten by a bear, by looking fucking cute as all hell. https://t.co/s90v3epQQ3",461353049.0,a592bd6ceb1319f7,"San Diego, CA",-117.10973,32.801037,SAN DIEGO,2.0,disgust,negative
8,1.4596505878473892e+18,2021-11-13,What do they say about what a bear does on the woods? Now you can have it on you mantel. https://t.co/A6lEYjfVPb,426679006.0,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,2.0,neutral,neutral
9,1.4597023984069875e+18,2021-11-14,"Sometimes you eat the bear and sometimes the bear eats you. 

Pandemic has been unbearable at times, but looking forward to 2022 with optimism. Lots of great opportunities and growth. 

#life #stayhungry #eatthebear https://t.co/aMKbIr5llT",39552721.0,5a110d312052166f,"San Francisco, CA",-122.39212,37.79307,SAN FRANCISCO,2.0,anger,positive
10,1.4597608072819507e+17,2011-12-11,It is colder than a polar bear's toenail!,344507378.0,b71fac2ee9792cbe,"Sacramento, CA",-121.46615,38.58239,YOLO,2.0,neutral,negative
11,1.4599268095296184e+18,2021-11-14,"So today, #Petaluma has a bear wandering around backyards on west side. @PetalumaCityGov police need to send a current update for residents to read. #nixel https://t.co/GVfwLilb5Z",57350950.0,239aa72871ae24ab,"Petaluma, CA",-122.618805,38.21343,SONOMA,1.0,fear,neutral
12,1.459931912487719e+18,2021-11-14,Bear is up in a tree. #Petaluma https://t.co/X2OIZJyZWf,57350950.0,239aa72871ae24ab,"Petaluma, CA",-122.618805,38.21343,SONOMA,1.0,neutral,neutral
13,1.4600441055101256e+18,2021-11-15,@PELTZTHEPRODIGY A bear?!,44320256.0,5a9de3ff3fdd849d,"Santa Rosa, CA",-122.62832,38.4832,SONOMA,2.0,surprise,neutral
14,1.460085751085957e+17,2011-12-11,@Paaauuuliinaa the polar bears are eating each other! so sad :( http://t.co/CynLZR5S,79083237.0,5ef5b7f391e30aff,"Berkeley, CA",-122.264915,37.860676,CONTRA COSTA,1.0,sadness,negative
15,1.4601281583724134e+18,2021-11-15,@KTVU Bear is down from tree,194408255.0,840f120ae56c1da7,"Napa, CA",-122.278595,38.310326,NAPA,1.0,neutral,neutral
16,1.4602257155555738e+17,2011-12-12,And he shall slay the wounded bear amongst the longest odds. -Corinthians 13:23 #tebowed,11353582.0,3b77caf94bfc81fe,"Los Angeles, CA",-118.38564,34.112385,LOS ANGELES,2.0,joy,neutral
17,1.46064549978291e+18,2021-11-16,"To imagining I was... I guess a star trek officer or some kind of space travel crew member and we were on a planet raiding an outpost. One of the other characters was a uniformed white wolf with grey markings and another was this bear, and most of our other crew were humanoid",21538113.0,0562e9e53cddf6ec,"Santa Ana, CA",-117.93937,33.721928,ORANGE,2.0,neutral,neutral
18,1.4606596530885427e+17,2011-12-12,Polar bear-kills-panda bear   @ Abbey House http://t.co/g859ZJgF,28270634.0,1927193c57f35d51,"West Hollywood, CA",-118.3705,34.08067,LOS ANGELES,2.0,neutral,neutral
19,1.4610467884172083e+18,2021-11-17,"@tlhicks713 I know. And there's some good ones out there, too. 
Btw I wouldn't want to be anywhere near a bear like that. Whether I had a gun for protection or not.",1.0611669590588376e+18,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1.0,neutral,neutral
20,1.4613937225542164e+18,2021-11-18,I climbed over the fence into the bear cage at the zoo and had to kill them all in self defense,26550607.0,54043c2f7d22a3b8,"Fair Oaks, CA",-121.254196,38.685196,SACRAMENTO,1.0,neutral,negative
21,1.4614001650178662e+18,2021-11-18,He was just looking for the donut case to see if they had any bear claws https://t.co/PfVwnm2y8v,165952520.0,01d4e349481265e8,"Carlsbad, CA",-117.31001,33.167263,SAN DIEGO,1.0,neutral,neutral
22,1.4619478747620557e+18,2021-11-20,"@JoelOsteen What about the Bear who ate a snake but not the bug who was ate by another snake that #Baum saw close enough to poke with a pick trying to poke a hole in the carrier of our universe #CNN #PBS you can lose a life but you will still have an enternity in the intestinal track, bileto",1.4379277866985308e+18,e04653ebc39b100c,"La Puente, CA",-117.93231,33.992367,LOS ANGELES,2.0,fear,negative
23,1.4620753979279483e+18,2021-11-20,"@MikeNP40 @sandibachom @lauferlaw Hope the judge doesn't let him bring the AR-15 style weapon, to protect him from fish!! 
Bear spray, was appropriate for self defense at the peaceful protest. Anything else, was instigating!",525452610.0,00c12e8612b69ccf,"Fountain Valley, CA",-117.93937,33.721928,ORANGE,2.0,anger,negative
24,1.46210837383961e+18,2021-11-20,"@Pato_D_ @SothraNauk I think certain bear species may hold on long enough. They're hopefully adaptable enough to live on. They seem to be doing well where I live. (Black bears anyways, grizzlies been long gone)",2378246066.0,5a9de3ff3fdd849d,"Santa Rosa, CA",-122.62832,38.4832,SONOMA,2.0,neutral,positive
25,1.462261323434107e+18,2021-11-21,WE STORMED THEIR FIELD AGAIN!!! PALO ALTO IS BEAR TERRITORY BABY!!!,87119583.0,71d33f776fe41dfb,"Martinez, CA",-122.15372,37.952705,CONTRA COSTA,1.0,anger,neutral
26,1.4622652213224448e+18,2021-11-21,@hitRECordJoe The simple bear necessities of life,38542154.0,28ace6b8d6dbc3af,"Chula Vista, CA",-117.00988,32.61772,SAN DIEGO,2.0,neutral,neutral
27,1.4623040752869253e+18,2021-11-21,@MatthewKnipfer @tamagoccTV how much does a polar bear ice*,2269586354.0,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,2.0,neutral,neutral
28,1.46230433098428e+18,2021-11-21,@MatthewKnipfer @tamagoccTV how much does a polar bear weigh** https://t.co/GwbM2fUgXg,2269586354.0,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,2.0,neutral,neutral
29,1.462879302781784e+18,2021-11-22,The bear in the swing space! https://t.co/A5jzgk5Mwq,348732368.0,e41805d7248dbf1e,"Modesto, CA",-121.01055,37.697884,STANISLAUS,1.0,joy,neutral
30,1.4639581844024484e+18,2021-11-25,"@CNN Loved seeing Bart the bear in movies and TV shows , always looked at credits to see if it was Bart. He will be missed. God bless, RIP, animals have souls too.",4808818189.0,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,2.0,sadness,positive
